,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2000-01-03,111.94,112.5,101.69,104.87,4783900,0.858047,0.86234,0.779479,0.803854,535797335,0.0,1.0
1,2000-01-04,102.5,110.62,101.19,108.25,4574800,0.785688,0.847929,0.775646,0.829763,512378112,0.0,1.0
2,2000-01-05,104.0,110.56,103.0,103.75,6949300,0.797185,0.847469,0.78952,0.795269,778322378,0.0,1.0
3,2000-01-06,95.0,107.0,95.0,106.12,6856900,0.728198,0.820181,0.728198,0.813436,767973567,0.0,1.0
4,2000-01-07,99.5,101.0,95.5,96.5,4113700,0.762692,0.77419,0.732031,0.739696,460734860,0.0,1.0
5,2000-01-10,97.75,102.25,94.75,102.0,4509500,0.749278,0.783771,0.726282,0.781855,505064505,0.0,1.0
6,2000-01-11,92.75,99.37,90.5,95.94,3942400,0.710951,0.761695,0.693705,0.735404,441549241,0.0,1.0
7,2000-01-12,87.19,95.5,86.5,95.0,8714900,0.668333,0.732031,0.663044,0.728198,976069776,0.0,1.0
8,2000-01-13,96.75,98.75,92.5,94.48,9220400,0.741612,0.756943,0.709035,0.724212,1032685832,0.0,1.0
9,2000-01-14,100.44,102.25,99.37,100.0,3485500,0.769897,0.783771,0.761695,0.766524,390376390,0.0,1.0
10,2000-01-18,103.94,106.0,100.44,101.0,4099800,0.796726,0.812516,0.769897,0.77419,459178059,0.0,1.0
11,2000-01-19,106.56,108.75,103.37,105.62,5336100,0.816808,0.833595,0.792356,0.809603,597643797,0.0,1.0
12,2000-01-20,113.5,121.5,113.5,115.5,16349400,0.870005,0.931327,0.870005,0.885336,1831134631,0.0,1.0
13,2000-01-21,111.31,114.25,110.19,114.25,4427900,0.853218,0.875754,0.844633,0.875754,495925295,0.0,1.0
14,2000-01-24,106.25,112.75,105.12,108.44,3936400,0.814432,0.864256,0.805771,0.831219,440877240,0.0,1.0
15,2000-01-25,112.25,113.12,102.37,105.0,4438800,0.860424,0.867092,0.784691,0.804851,497146097,0.0,1.0
16,2000-01-26,110.19,114.19,109.75,110.0,3278200,0.844633,0.875294,0.841261,0.843177,367158767,0.0,1.0
17,2000-01-27,110.0,113.0,107.0,108.81,3037000,0.843177,0.866173,0.820181,0.834055,340144340,0.0,1.0
18,2000-01-28,101.62,110.87,100.62,108.19,3779900,0.778942,0.849846,0.771277,0.829303,423349223,0.0,1.0
19,2000-01-31,103.75,103.87,94.5,101.0,6265000,0.795269,0.796189,0.724366,0.77419,701680701,0.0,1.0
20,2000-02-01,100.25,105.0,100.0,104.0,2839600,0.768441,0.804851,0.766524,0.797185,318035518,0.0,1.0
21,2000-02-02,98.81,102.12,97.0,100.75,4144600,0.757403,0.782775,0.743529,0.772273,464195664,0.0,1.0
22,2000-02-03,103.31,104.25,100.25,100.31,4242800,0.791896,0.799102,0.768441,0.768901,475194075,0.0,1.0
23,2000-02-04,108.0,110.0,103.62,103.94,3797500,0.827846,0.843177,0.794273,0.796726,425320425,0.0,1.0
24,2000-02-07,114.06,114.25,105.94,108.0,3938100,0.874298,0.875754,0.812056,0.827846,441067641,0.0,1.0
25,2000-02-08,114.87,116.12,111.25,114.0,3648600,0.880507,0.890088,0.852758,0.873838,408643608,0.0,1.0
26,2000-02-09,112.62,117.12,112.44,114.12,2672900,0.86326,0.897753,0.86188,0.874758,299365099,0.0,1.0
27,2000-02-10,113.5,113.87,110.0,112.87,2705200,0.870005,0.872841,0.843177,0.865176,302982702,0.0,1.0
28,2000-02-11,108.75,114.12,108.25,113.62,1895100,0.833595,0.874758,0.829763,0.870925,212251412,0.0,1.0
29,2000-02-14,115.81,115.87,108.62,109.31,3281600,0.887712,0.888172,0.832599,0.837888,367539567,0.0,1.0
30,2000-02-15,119.0,119.94,115.19,115.25,4337000,0.912164,0.919369,0.88296,0.883419,485744485,0.0,1.0
31,2000-02-16,114.12,118.12,112.12,117.75,3377200,0.874758,0.905419,0.859427,0.902583,378246778,0.0,1.0
32,2000-02-17,114.87,115.5,113.12,115.19,2584800,0.880507,0.885336,0.867092,0.88296,289497889,0.0,1.0
